,Acquisition Amount,Acquisition Date,Acquisition Method,Address,Asbestos Survey RFP Group,BTF Recommendation,Bid Price Contractor Amount,Case GTJ Photo Link,Current Status,Current Status Date,Demo Contractor,Demo Contractor Proceed Date,Demo RFP Group,Foreclosure Year,Grant Program,Knock Down Date,NTP Batch,NTP Date,Occupancy Model Last Update,Occupancy Model Probability,Parcel ID,Photo URL,Pipeline,Planned Knock Down Date,Program,Property Ownership,Sold - Auction,Sold - Direct Sale,Sold - Side Lot,Sold Date,Util Cut Status
837,,2016-01-15,Transfer-WCT,19210 Mark Twain,,,0.0,,Vacant Land,2016-07-26,,,,,,,,,,,22036952.,https://wdwot.s3.amazonaws.com/blexts/000/012/881/blext20131206-32097-xutjc2.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
838,,2014-01-23,Transfer-WCT,17603 Vaughan,,,0.0,http://www.gtjadmin.com/view_assets.asp?id=1929470,Demo Review,2017-03-19,,,,2013,,,,,2017-03-15,14.3120027430898,22098157.001,https://wdwot.s3.amazonaws.com/blexts/000/012/886/blext20131206-32097-1u92t0f.jpg,HHF Demo,,HHF Demo,DLBA Owned,False,False,False,,No Cuts Confirmed
839,,2014-07-29,Donation-Private,15201 Forrer,,Structure Removal,0.0,http://gtjadmin.com/view_assets.asp?id=1957961,For Sale,2016-03-30,Able Demolition,,FIE 9C,2012,,2014-07-24,,,,,22054462.,https://wdwot.s3.amazonaws.com/blexts/000/660/263/80544770d8791465.jpg?t=1474603817,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
840,,2016-01-15,Transfer-WCT,11047 Findlay,,Community Input,0.0,http://gtjadmin.com/view_assets.asp?id=2083462,Sales Review,2016-03-31,,,,,,,,,2017-03-15,14.3120027430898,21013023.,https://wdwot.s3.amazonaws.com/blexts/000/564/866/841f1b7315578db5.jpg?t=1459828968,Own It Now,,Own It Now,DLBA Owned,False,False,False,,No Cuts Confirmed
841,,2017-03-22,Transfer-WCT,201 E Margaret,,,0.0,,Vacant Land,2017-03-24,,,,,,,,,,,01005888.,https://wdwot.s3.amazonaws.com/blexts/000/380/968/blext.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
842,500.0,2017-02-22,Purchase-We Buy It,561 Owen,,Structure Removal,0.0,,Intake Review,2017-03-08,,,,,,,,,2017-03-15,14.3120027430898,03002514.,https://wdwot.s3.amazonaws.com/blexts/000/675/129/4ebaa86d653d3157.jpg?t=1476850171,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
843,,2014-12-04,Transfer-City PDD,2551 Stair,,,0.0,,,2017-01-17,,,,2005,,,,,,,18010101.,https://wdwot.s3.amazonaws.com/blexts/000/690/356/c195888ad2539ae0.jpg?t=1479791345,,,Side Lot,Formerly DLBA Owned,False,False,False,2017-01-17,No Cuts Confirmed
844,,2017-01-13,Transfer-WCT,4887 Marseilles,,Structure Removal,0.0,http://www.gtjadmin.com/view_assets.asp?id=2166183,Demo Review,2017-02-03,,,,2012,,,,,2017-03-15,5.04159017374991,21077742.001,https://wdwot.s3.amazonaws.com/blexts/000/017/487/blext20131209-25444-dx1vmg.jpg,HHF Demo,,HHF Demo,DLBA Owned,False,False,False,,No Cuts Confirmed
845,,2016-01-15,Transfer-WCT,7320 Edward,,,0.0,,Vacant Land,2016-07-26,,,,,,,,,,,18001854.,https://wdwot.s3.amazonaws.com/blexts/000/017/494/blext20131209-5409-lqofnv.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
846,,2014-08-01,Default Judgement,17403 Greenlawn,,Community Input,0.0,,,2016-03-28,,,,,,,,,2017-03-15,99.430003534818,16029854.,https://wdwot.s3.amazonaws.com/blexts/000/617/662/2bc4262de65fcd23.jpg?t=1468901213,,,Rehabbed and Ready,Formerly DLBA Owned,False,False,False,2015-11-25,No Cuts Confirmed
847,,2014-12-04,Transfer-City PDD,7314 Edward,,,0.0,,,2016-08-12,,,,2006,,,,,,,18001855.,https://wdwot.s3.amazonaws.com/blexts/000/017/511/blext20131209-5409-8q3vzt.jpg,,,Side Lot,Formerly DLBA Owned,False,False,False,2016-08-12,No Cuts Confirmed
848,,2015-01-06,Transfer-WCT,12611 Racine,,,0.0,,,2016-03-30,,,,2014,,,,,,,21033590.,https://wdwot.s3.amazonaws.com/blexts/000/166/812/blext.jpg,,,Side Lot,Formerly DLBA Owned,False,False,True,2015-06-27,No Cuts Confirmed
849,,2015-01-06,Transfer-WCT,4847 Marseilles,,,0.0,,Sales Review,2016-03-30,,,,2014,,,,,,,21077746.,https://wdwot.s3.amazonaws.com/blexts/000/017/524/blext20131209-5409-1xluco5.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
850,,2016-01-15,Transfer-WCT,5354 Hereford,,Community Input,0.0,http://www.gtjadmin.com/view_assets.asp?id=2060053,Sales Review,2016-03-31,,,,,,,,,2017-03-15,14.3120027430898,21077106.,https://wdwot.s3.amazonaws.com/blexts/000/551/133/84533d4f16d3ad05.jpg?t=1455082414,Own It Now,,Own It Now,DLBA Owned,False,False,False,,No Cuts Confirmed
851,,2016-01-13,Transfer-WCT,603 Owen,12.1.15,Structure Removal,0.0,,For Sale,2016-06-01,Rickman Enterprise Group,,51189,,,2016-02-15,,,,,03002520.,https://wdwot.s3.amazonaws.com/blexts/000/675/135/d90fc99cd2f9d6ee.jpg?t=1476850172,Side Lot,,Side Lot,DLBA Owned,False,False,False,,Double Cut
852,,2014-03-04,Transfer-City PDD,4805 Marseilles,,,0.0,http://www.gtjadmin.com/view_assets.asp?id=1874165,Vacant Land,2016-07-26,,,,2009,,2014-04-22,,,,,21077750.,https://wdwot.s3.amazonaws.com/blexts/000/017/576/blext20131209-5328-1qcqj9f.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
853,,2015-06-16,Transfer-City PDD,617 Owen,,Further Analysis,0.0,http://gtjadmin.com/view_assets.asp?id=2151039,For Sale,2017-02-06,,,,2010,,,,,2017-03-15,14.3120027430898,03002522.,https://wdwot.s3.amazonaws.com/blexts/000/675/144/4ea8ef5f358d2c28.jpg?t=1476850173,Own It Now,,Own It Now,DLBA Owned,False,False,False,,No Cuts Confirmed
854,,2014-03-04,Transfer-City PDD,5519 Guilford,,Community Input,0.0,http://www.gtjadmin.com/view_assets.asp?id=1874169,Vacant Land,2016-07-26,,,,2012,,,,,,,21075783.,https://wdwot.s3.amazonaws.com/blexts/000/017/609/blext20131209-5328-d7f2ti.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
