unique_misfit,Count,geoc_address,anon_return,,,,,
WB 7MILE,1,,,,,,,
RANDOLPH,1,,,,,,,
WCJ DIV 1,1,,,,,,,
RE DTW AIRPORT,1,,,,,,,
WESTWOOD - CHALFONTE,1,,,,,,,
RECEIVING HOSPITAL,1,,,,,,,
MARLBOROUGH,1,,,,,,,
RENAISSANCE CENTER,1,,,,,,,
MACK WOODWARD,1,,,,,,,
RENAISSANCE HIGH SCHOOL,1,,,,,,,
WOODWARD - GRAND BLVD,1,,,,,,,
REX-NOVARA,1,,,,,,,
WOODWARD AVENUE,1,,,,,,,
RIVARD,1,,,,,,,
WOODWARD PETERBORO,1,,,,,,,
MEYERS,1,,,,,,,
WOODWARD-FORT,1,,,,,,,
RIVER FRONT HOTEL,1,,,,,,,
WS665 W HANCOCK,1,,,,,,,
RIVER ROUGE PARK,1,,,,,,,
ST JOHN HOSP,1,,,,,,,
LYNDON ST,1,,,,,,,
ST JOHN`S OAKLAND HOSPITAL,1,,,,,,,
RIVERPL,1,,,,,,,
ST MARY`S HOSPITAL,1,,,,,,,
RIVERSIDE PLAZA,1,,,,,,,
ST. ANTOINE,1,,,,,,,
ROBERT BRADBY DR,1,,,,,,,
STA PER DSK,1,,,,,,,
ROCK FINANCIAL BUILDING,1,,,,,,,
STANSBURY,1,,,,,,,
ROSA  PART TRANSIT,1,,,,,,,
STATE FAIR BUS TERMINAL,1,,,,,,,
ROSA PARK,1,,,,,,,
MONROE BEAUBIEN,1,,,,,,,
ROSA PARK GARDEN,1,,,,,,,
MONROE ST,1,,,,,,,
ROSA PARK TRANIS,1,,,,,,,
STHFLD - EATON,1,,,,,,,
MGM  CASINO,1,,,,,,,
STRATHMOOR,1,,,,,,,
ROSA PARK TRANSIT CENTER,1,,,,,,,
STUDENT CENTER,1,,,,,,,
ROSA PARK TRNST CTR,1,,,,,,,
TELEGRA[H/ BENNETTE,1,,,,,,,
M1 RAIL,1,,,,,,,
TEMPLE,1,,,,,,,
MGM CASINO GARAGE,1,,,,,,,
THIS IS A TEST,1,,,,,,,
MGM GRAND,1,,,,,,,
TIREMAN - MANSFIELD,1,,,,,,,
MANSFIELD ST,1,,,,,,,
TRAINING CENTER,1,,,,,,,
ROSA PARKS W WARREN AVE,1,,,,,,,
TROWBRIDGE,1,,,,,,,
ROSA PARKS. W WARREN,1,,,,,,,
TROY PD,1,,,,,,,
ROSSINI-HOYT,1,,,,,,,
UDAA DPS UNMARKED VEHICLE,1,,,,,,,
MGM PARKING LOT EAST,1,,,,,,,
UNK ST,1,,,,,,,
ROUGE POLICE DEP,1,,,,,,,
MONTROSE,1,,,,,,,
MGM PARKING STRUCTURE,1,,,,,,,
VAN DYKE ST,1,,,,,,,
MICHIGAN,1,,,,,,,
VANDYKE - HARPER,1,,,,,,,
RUSSELL  FERRY,1,,,,,,,
VASSAR.SCHAEFER,1,,,,,,,
RUSSELL - FERRY,1,,,,,,,
VICTORIA PARK,1,,,,,,,
RUSSELL \ E.FERRY,1,,,,,,,
W 7 - SHAFTBURY,1,,,,,,,
MACK ALTER SQUARE,1,,,,,,,
W 7MIHEYDEN ST,1,,,,,,,
RUSSELL FERRY MOG,1,,,,,,,
MOTOR CCITY CASINO,1,,,,,,,
RUSSELL FERRY REFUELING,1,,,,,,,
MARGERETA - OAKFIELD,1,,,,,,,
RUSSELL FERRYST`,1,,,,,,,
"W EUCLID ST, W PHILDEPHIA SST",1,,,,,,,
MICHIGAN 19TH ST,1,,,,,,,
W FORT ST W GRAND BLVD,1,,,,,,,
XC,1,,,,,,,
W GRAND BLVD,1,,,,,,,
LYDIA AVE,1,,,,,,,
W GRD BLVD   LINWOOD,1,,,,,,,
S I 75 TO W I 96 RAMP,1,,,,,,,
W I 94 218,1,,,,,,,
